127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.006188
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.001253
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.002722
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001101
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.001934
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002012
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000768
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.001637
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.001009
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power, HTTP/1.1, 200, 0.085032
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001074
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.001156
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.003532
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001117
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.001133
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.012505
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.001202
127.0.0.1, 2016-05-06 16:17:48, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001176
