80.98.152.198, 2016-05-18 19:28:52, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.023006
80.98.152.198, 2016-05-18 19:28:54, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.205642
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.026061
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000397
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000644
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 200, 0.000344
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000211
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 200, 0.000201
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 200, 0.000199
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 200, 0.000232
176.63.7.10, 2016-05-19 05:06:01, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 200, 0.000401
176.63.7.10, 2016-05-19 05:06:16, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.023104
176.63.7.10, 2016-05-19 05:06:16, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000343
176.63.7.10, 2016-05-19 05:06:16, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 200, 0.000235
176.63.7.10, 2016-05-19 05:06:16, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000767
176.63.7.10, 2016-05-19 05:06:16, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 200, 0.000252
176.63.7.10, 2016-05-19 05:06:16, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 200, 0.000781
176.63.7.10, 2016-05-19 05:06:16, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 200, 0.000196
176.63.7.10, 2016-05-19 05:06:21, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.173692
80.98.152.198, 2016-05-19 06:00:45, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.087813
80.98.152.198, 2016-05-19 06:00:46, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000382
80.98.152.198, 2016-05-19 06:00:46, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000237
80.98.152.198, 2016-05-19 06:00:46, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 200, 0.000487
80.98.152.198, 2016-05-19 06:00:46, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000195
80.98.152.198, 2016-05-19 06:00:46, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 200, 0.000182
80.98.152.198, 2016-05-19 06:00:46, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 200, 0.000210
80.98.152.198, 2016-05-19 06:00:47, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000267
80.98.152.198, 2016-05-19 06:00:47, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 200, 0.001102
80.98.152.198, 2016-05-19 06:00:47, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000197
80.98.152.198, 2016-05-19 06:00:47, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 200, 0.000232
80.98.152.198, 2016-05-19 06:00:49, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 200, 0.000433
80.98.152.198, 2016-05-19 06:00:49, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 200, 0.000345
80.98.152.198, 2016-05-19 06:00:49, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 200, 0.000258
80.98.152.198, 2016-05-19 06:00:49, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 200, 0.000233
80.98.152.198, 2016-05-19 06:00:55, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.194477
80.98.152.198, 2016-05-19 06:00:56, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000375
80.98.152.198, 2016-05-19 06:00:56, GET, /ec2_instance_power/static/images/favicon.png, HTTP/1.1, 200, 0.000280
80.98.152.198, 2016-05-19 06:02:34, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.022696
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.022111
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000396
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000233
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000223
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.000168
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.000221
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000189
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.000209
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000198
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000176
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000200
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 304, 0.000374
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000321
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000200
80.98.152.198, 2016-05-19 09:08:03, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000204
80.98.152.198, 2016-05-19 09:08:05, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.192239
80.98.152.198, 2016-05-19 09:08:08, POST, /ec2_instance_power/default/powerOff, HTTP/1.1, 200, 0.241273
80.98.152.198, 2016-05-19 09:08:16, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.103486
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.024363
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000358
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000160
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000194
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.000172
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.000247
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000184
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000231
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.000199
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000237
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000194
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 304, 0.000351
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000218
80.98.152.198, 2016-05-19 09:08:17, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000193
80.98.152.198, 2016-05-19 09:08:18, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000291
80.98.152.198, 2016-05-19 09:08:18, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000357
80.98.152.198, 2016-05-19 09:08:19, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.104971
80.98.152.198, 2016-05-19 09:10:59, POST, /ec2_instance_power/default/powerOn, HTTP/1.1, 200, 0.604997
80.98.152.198, 2016-05-19 09:11:03, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.120869
80.98.152.198, 2016-05-19 09:11:08, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.106541
80.98.152.198, 2016-05-19 09:11:09, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.161389
80.98.152.198, 2016-05-19 09:11:13, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.103506
80.98.152.198, 2016-05-19 09:11:17, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.155341
80.98.152.198, 2016-05-19 09:11:19, POST, /ec2_instance_power/default/powerOff, HTTP/1.1, 200, 0.304918
80.98.152.198, 2016-05-19 09:17:17, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.195647
80.98.152.198, 2016-05-19 09:37:20, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.022565
80.98.152.198, 2016-05-19 09:37:23, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.577102
80.98.152.198, 2016-05-19 09:55:00, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.180440
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.023381
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000346
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000169
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000164
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.000183
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.000214
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000175
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.000292
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000184
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000182
